"province","sex","age_group","years_from_start","gini","year"
"Alberta","Female","15_19",0,0.136634488047924,2006
"Alberta","Female","15_19",1,0.169575962316814,2007
"Alberta","Female","15_19",2,0.129949107069579,2008
"Alberta","Female","15_19",3,0.133046744349976,2009
"Alberta","Female","15_19",4,0.0974955550968512,2010
"Alberta","Female","15_19",5,0.130781455727795,2011
"Alberta","Female","15_19",6,0.12696599590969,2012
"Alberta","Female","15_19",7,0.119266766985421,2013
"Alberta","Female","15_19",8,0.119881999283427,2014
"Alberta","Female","15_19",9,0.117751797116425,2015
"Alberta","Female","15_19",10,0.135479841026675,2016
"Alberta","Female","15_19",11,0.0897596243786053,2017
"Alberta","Female","15_19",12,0.080218559149718,2018
"Alberta","Female","15_19",13,0.0616557096247961,2019
"Alberta","Female","15_19",14,0.0659314417131051,2020
"Alberta","Female","15_19",15,0.070216215484203,2021
"Alberta","Female","15_19",16,0.0561908458587335,2022
"Alberta","Female","15_19",17,0.129403677407948,2023
"Alberta","Female","15_19",18,0.122274161892928,2024
"Alberta","Female","15_19",0.5,0.156657064744006,2006.5
"Alberta","Female","15_19",1.5,0.13218686069665,2007.5
"Alberta","Female","15_19",2.5,0.155849589526581,2008.5
"Alberta","Female","15_19",3.5,0.156390615618267,2009.5
"Alberta","Female","15_19",4.5,0.14276505942775,2010.5
"Alberta","Female","15_19",5.5,0.134298898142588,2011.5
"Alberta","Female","15_19",6.5,0.140511244729791,2012.5
"Alberta","Female","15_19",7.5,0.149976971633126,2013.5
"Alberta","Female","15_19",8.5,0.135796075600268,2014.5
"Alberta","Female","15_19",9.5,0.135756082069975,2015.5
"Alberta","Female","15_19",10.5,0.118566197768232,2016.5
"Alberta","Female","15_19",11.5,0.122051555012403,2017.5
"Alberta","Female","15_19",12.5,0.0891712720766795,2018.5
"Alberta","Female","15_19",13.5,0.0728073065385082,2019.5
"Alberta","Female","15_19",14.5,0.095790775683803,2020.5
"Alberta","Female","15_19",15.5,0.0634332186130926,2021.5
"Alberta","Female","15_19",16.5,0.0781843636807767,2022.5
"Alberta","Female","15_19",17.5,0.0914982165212719,2023.5
"Alberta","Female","15_19",18.5,0.0976153216049875,2024.5
"Alberta","Female","20_34",0,0.244986365996276,2006
"Alberta","Female","20_34",1,0.249240567205691,2007
"Alberta","Female","20_34",2,0.228542085677576,2008
"Alberta","Female","20_34",3,0.249478139302936,2009
"Alberta","Female","20_34",4,0.252424061336382,2010
"Alberta","Female","20_34",5,0.261720306098841,2011
"Alberta","Female","20_34",6,0.249888436377342,2012
"Alberta","Female","20_34",7,0.255973458124168,2013
"Alberta","Female","20_34",8,0.257971174065582,2014
"Alberta","Female","20_34",9,0.254778998264599,2015
"Alberta","Female","20_34",10,0.269728739808629,2016
"Alberta","Female","20_34",11,0.252622644128744,2017
"Alberta","Female","20_34",12,0.261152178876381,2018
"Alberta","Female","20_34",13,0.232087227306482,2019
"Alberta","Female","20_34",14,0.232344660405449,2020
"Alberta","Female","20_34",15,0.236538585010896,2021
"Alberta","Female","20_34",16,0.241091516656798,2022
"Alberta","Female","20_34",17,0.225510884592257,2023
"Alberta","Female","20_34",18,0.241086994842656,2024
"Alberta","Female","20_34",0.5,0.238808206700642,2006.5
"Alberta","Female","20_34",1.5,0.243594893739646,2007.5
"Alberta","Female","20_34",2.5,0.240105672777336,2008.5
"Alberta","Female","20_34",3.5,0.230543635536871,2009.5
"Alberta","Female","20_34",4.5,0.246622185405683,2010.5
"Alberta","Female","20_34",5.5,0.256006315931125,2011.5
"Alberta","Female","20_34",6.5,0.252322122560836,2012.5
"Alberta","Female","20_34",7.5,0.262874337802941,2013.5
"Alberta","Female","20_34",8.5,0.248754085273284,2014.5
"Alberta","Female","20_34",9.5,0.262064504571581,2015.5
"Alberta","Female","20_34",10.5,0.253360580660127,2016.5
"Alberta","Female","20_34",11.5,0.259928646895969,2017.5
"Alberta","Female","20_34",12.5,0.234884182798886,2018.5
"Alberta","Female","20_34",13.5,0.231403834418881,2019.5
"Alberta","Female","20_34",14.5,0.239297196146631,2020.5
"Alberta","Female","20_34",15.5,0.226060181099455,2021.5
"Alberta","Female","20_34",16.5,0.23334756452374,2022.5
"Alberta","Female","20_34",17.5,0.226900770020463,2023.5
"Alberta","Female","20_34",18.5,0.245289625614795,2024.5
"Alberta","Female","35_54",0,0.268560756286069,2006
"Alberta","Female","35_54",1,0.26187294343239,2007
"Alberta","Female","35_54",2,0.274762919631751,2008
"Alberta","Female","35_54",3,0.260678194062638,2009
"Alberta","Female","35_54",4,0.260849115554279,2010
"Alberta","Female","35_54",5,0.264773237594458,2011
"Alberta","Female","35_54",6,0.276054039486777,2012
"Alberta","Female","35_54",7,0.278766530213408,2013
"Alberta","Female","35_54",8,0.278956268755446,2014
"Alberta","Female","35_54",9,0.267040994600323,2015
"Alberta","Female","35_54",10,0.265612368282052,2016
"Alberta","Female","35_54",11,0.273842571392006,2017
"Alberta","Female","35_54",12,0.260232247075025,2018
"Alberta","Female","35_54",13,0.264061710132991,2019
"Alberta","Female","35_54",14,0.263876459075974,2020
"Alberta","Female","35_54",15,0.247912102248407,2021
"Alberta","Female","35_54",16,0.248015194062867,2022
"Alberta","Female","35_54",17,0.252285208665266,2023
"Alberta","Female","35_54",18,0.264594471281972,2024
"Alberta","Female","35_54",0.5,0.273337924205946,2006.5
"Alberta","Female","35_54",1.5,0.25823065133822,2007.5
"Alberta","Female","35_54",2.5,0.261719783493083,2008.5
"Alberta","Female","35_54",3.5,0.263360239876648,2009.5
"Alberta","Female","35_54",4.5,0.267517135080536,2010.5
"Alberta","Female","35_54",5.5,0.267853805052592,2011.5
"Alberta","Female","35_54",6.5,0.280109220001925,2012.5
"Alberta","Female","35_54",7.5,0.279503317079262,2013.5
"Alberta","Female","35_54",8.5,0.273827153647212,2014.5
"Alberta","Female","35_54",9.5,0.265679277522604,2015.5
"Alberta","Female","35_54",10.5,0.281578096513928,2016.5
"Alberta","Female","35_54",11.5,0.270949645635258,2017.5
"Alberta","Female","35_54",12.5,0.265226671118129,2018.5
"Alberta","Female","35_54",13.5,0.269891044812009,2019.5
"Alberta","Female","35_54",14.5,0.256522284940603,2020.5
"Alberta","Female","35_54",15.5,0.255955693339206,2021.5
"Alberta","Female","35_54",16.5,0.264670837583729,2022.5
"Alberta","Female","35_54",17.5,0.251240909979644,2023.5
"Alberta","Female","35_54",18.5,0.267870470894051,2024.5
"Alberta","Female","55+",0,0.290656029404983,2006
"Alberta","Female","55+",1,0.274058867891771,2007
"Alberta","Female","55+",2,0.249252591621588,2008
"Alberta","Female","55+",3,0.295448575953276,2009
"Alberta","Female","55+",4,0.283682052651503,2010
"Alberta","Female","55+",5,0.28221576986406,2011
"Alberta","Female","55+",6,0.269457199432159,2012
"Alberta","Female","55+",7,0.289236064444292,2013
"Alberta","Female","55+",8,0.261532953640927,2014
"Alberta","Female","55+",9,0.295592925575349,2015
"Alberta","Female","55+",10,0.273115979652504,2016
"Alberta","Female","55+",11,0.283139105024798,2017
"Alberta","Female","55+",12,0.245371916094682,2018
"Alberta","Female","55+",13,0.281482181428073,2019
"Alberta","Female","55+",14,0.244682711597281,2020
"Alberta","Female","55+",15,0.247669674596829,2021
"Alberta","Female","55+",16,0.235976811485445,2022
"Alberta","Female","55+",17,0.244104261583501,2023
"Alberta","Female","55+",18,0.263559741186037,2024
"Alberta","Female","55+",0.5,0.279567712054049,2006.5
"Alberta","Female","55+",1.5,0.287813132634473,2007.5
"Alberta","Female","55+",2.5,0.274380521739034,2008.5
"Alberta","Female","55+",3.5,0.281122535335224,2009.5
"Alberta","Female","55+",4.5,0.277392870363607,2010.5
"Alberta","Female","55+",5.5,0.279801105858336,2011.5
"Alberta","Female","55+",6.5,0.273716966630274,2012.5
"Alberta","Female","55+",7.5,0.301049778610328,2013.5
"Alberta","Female","55+",8.5,0.26831231344551,2014.5
"Alberta","Female","55+",9.5,0.288450733774756,2015.5
"Alberta","Female","55+",10.5,0.282428685817939,2016.5
"Alberta","Female","55+",11.5,0.280005300261259,2017.5
"Alberta","Female","55+",12.5,0.265325893721154,2018.5
"Alberta","Female","55+",13.5,0.267316681037606,2019.5
"Alberta","Female","55+",14.5,0.266646127807633,2020.5
"Alberta","Female","55+",15.5,0.24818362031552,2021.5
"Alberta","Female","55+",16.5,0.26270513383107,2022.5
"Alberta","Female","55+",17.5,0.257857233370709,2023.5
"Alberta","Female","55+",18.5,0.288926213082343,2024.5
"Alberta","Male","15_19",0,0.186478323925156,2006
"Alberta","Male","15_19",1,0.201443336165708,2007
"Alberta","Male","15_19",2,0.148118685072953,2008
"Alberta","Male","15_19",3,0.20447681911718,2009
"Alberta","Male","15_19",4,0.159098364617993,2010
"Alberta","Male","15_19",5,0.174446992104637,2011
"Alberta","Male","15_19",6,0.197922623518655,2012
"Alberta","Male","15_19",7,0.173505137480935,2013
"Alberta","Male","15_19",8,0.185798275244,2014
"Alberta","Male","15_19",9,0.217671421984571,2015
"Alberta","Male","15_19",10,0.155777693690316,2016
"Alberta","Male","15_19",11,0.154121941866749,2017
"Alberta","Male","15_19",12,0.123235314190784,2018
"Alberta","Male","15_19",13,0.124164539305302,2019
"Alberta","Male","15_19",14,0.0974124155507908,2020
"Alberta","Male","15_19",15,0.0981898261272786,2021
"Alberta","Male","15_19",16,0.0992570172794241,2022
"Alberta","Male","15_19",17,0.130179471935653,2023
"Alberta","Male","15_19",18,0.118875346988832,2024
"Alberta","Male","15_19",0.5,0.197052268846529,2006.5
"Alberta","Male","15_19",1.5,0.180157128523691,2007.5
"Alberta","Male","15_19",2.5,0.177595775048772,2008.5
"Alberta","Male","15_19",3.5,0.178918010075866,2009.5
"Alberta","Male","15_19",4.5,0.17033572602073,2010.5
"Alberta","Male","15_19",5.5,0.160879538514907,2011.5
"Alberta","Male","15_19",6.5,0.159603663736307,2012.5
"Alberta","Male","15_19",7.5,0.166720490588375,2013.5
"Alberta","Male","15_19",8.5,0.203114395890389,2014.5
"Alberta","Male","15_19",9.5,0.170684391835936,2015.5
"Alberta","Male","15_19",10.5,0.126648807602774,2016.5
"Alberta","Male","15_19",11.5,0.123398616669239,2017.5
"Alberta","Male","15_19",12.5,0.126787472743829,2018.5
"Alberta","Male","15_19",13.5,0.110972503200605,2019.5
"Alberta","Male","15_19",14.5,0.0805324918953252,2020.5
"Alberta","Male","15_19",15.5,0.0799323088697966,2021.5
"Alberta","Male","15_19",16.5,0.108744514474449,2022.5
"Alberta","Male","15_19",17.5,0.123408742581614,2023.5
"Alberta","Male","15_19",18.5,0.125350008823338,2024.5
"Alberta","Male","20_34",0,0.232800076420472,2006
"Alberta","Male","20_34",1,0.227912314130989,2007
"Alberta","Male","20_34",2,0.232251553861243,2008
"Alberta","Male","20_34",3,0.227934995326106,2009
"Alberta","Male","20_34",4,0.236237492244818,2010
"Alberta","Male","20_34",5,0.245798788668269,2011
"Alberta","Male","20_34",6,0.243980205414768,2012
"Alberta","Male","20_34",7,0.256636968783087,2013
"Alberta","Male","20_34",8,0.25129455291972,2014
"Alberta","Male","20_34",9,0.243339216606656,2015
"Alberta","Male","20_34",10,0.254728420559646,2016
"Alberta","Male","20_34",11,0.256542419026572,2017
"Alberta","Male","20_34",12,0.241814871245146,2018
"Alberta","Male","20_34",13,0.24371746427863,2019
"Alberta","Male","20_34",14,0.254983754732402,2020
"Alberta","Male","20_34",15,0.247275464417764,2021
"Alberta","Male","20_34",16,0.256095540602229,2022
"Alberta","Male","20_34",17,0.250140102837053,2023
"Alberta","Male","20_34",18,0.265039716246155,2024
"Alberta","Male","20_34",0.5,0.233503649616807,2006.5
"Alberta","Male","20_34",1.5,0.231601496790169,2007.5
"Alberta","Male","20_34",2.5,0.23242028673531,2008.5
"Alberta","Male","20_34",3.5,0.235755269297482,2009.5
"Alberta","Male","20_34",4.5,0.24522765350019,2010.5
"Alberta","Male","20_34",5.5,0.252137636405442,2011.5
"Alberta","Male","20_34",6.5,0.253679875666285,2012.5
"Alberta","Male","20_34",7.5,0.259111902088879,2013.5
"Alberta","Male","20_34",8.5,0.255048443637649,2014.5
"Alberta","Male","20_34",9.5,0.252699735973118,2015.5
"Alberta","Male","20_34",10.5,0.258063958158984,2016.5
"Alberta","Male","20_34",11.5,0.270236583280214,2017.5
"Alberta","Male","20_34",12.5,0.254064389436487,2018.5
"Alberta","Male","20_34",13.5,0.257401088534861,2019.5
"Alberta","Male","20_34",14.5,0.254721553919905,2020.5
"Alberta","Male","20_34",15.5,0.257101581322949,2021.5
"Alberta","Male","20_34",16.5,0.252734553805167,2022.5
"Alberta","Male","20_34",17.5,0.243037762905248,2023.5
"Alberta","Male","20_34",18.5,0.260009189354849,2024.5
"Alberta","Male","35_54",0,0.252805460014336,2006
"Alberta","Male","35_54",1,0.245470959305783,2007
"Alberta","Male","35_54",2,0.255304202521221,2008
"Alberta","Male","35_54",3,0.245608437348005,2009
"Alberta","Male","35_54",4,0.252008370428028,2010
"Alberta","Male","35_54",5,0.263323944435815,2011
"Alberta","Male","35_54",6,0.261556381047941,2012
"Alberta","Male","35_54",7,0.267244187295077,2013
"Alberta","Male","35_54",8,0.262316873710819,2014
"Alberta","Male","35_54",9,0.263055144300407,2015
"Alberta","Male","35_54",10,0.274192033818407,2016
"Alberta","Male","35_54",11,0.273907553157547,2017
"Alberta","Male","35_54",12,0.257998815345255,2018
"Alberta","Male","35_54",13,0.258662453106037,2019
"Alberta","Male","35_54",14,0.251884122016744,2020
"Alberta","Male","35_54",15,0.240591251709249,2021
"Alberta","Male","35_54",16,0.247392335472983,2022
"Alberta","Male","35_54",17,0.257744220747989,2023
"Alberta","Male","35_54",18,0.252943292433137,2024
"Alberta","Male","35_54",0.5,0.257196024676495,2006.5
"Alberta","Male","35_54",1.5,0.242477398456323,2007.5
"Alberta","Male","35_54",2.5,0.24692912071969,2008.5
"Alberta","Male","35_54",3.5,0.248306141130851,2009.5
"Alberta","Male","35_54",4.5,0.245723626784463,2010.5
"Alberta","Male","35_54",5.5,0.266023557350078,2011.5
"Alberta","Male","35_54",6.5,0.2637631027057,2012.5
"Alberta","Male","35_54",7.5,0.267062381647176,2013.5
"Alberta","Male","35_54",8.5,0.264566355379337,2014.5
"Alberta","Male","35_54",9.5,0.256110984703451,2015.5
"Alberta","Male","35_54",10.5,0.261539899350952,2016.5
"Alberta","Male","35_54",11.5,0.254687939711814,2017.5
"Alberta","Male","35_54",12.5,0.259213398579945,2018.5
"Alberta","Male","35_54",13.5,0.254092648090833,2019.5
"Alberta","Male","35_54",14.5,0.251868364106983,2020.5
"Alberta","Male","35_54",15.5,0.249225387451118,2021.5
"Alberta","Male","35_54",16.5,0.251519449331584,2022.5
"Alberta","Male","35_54",17.5,0.243655379540204,2023.5
"Alberta","Male","35_54",18.5,0.263033834130423,2024.5
"Alberta","Male","55+",0,0.282300913919085,2006
"Alberta","Male","55+",1,0.274210580965895,2007
"Alberta","Male","55+",2,0.271383889606124,2008
"Alberta","Male","55+",3,0.291319438972834,2009
"Alberta","Male","55+",4,0.264181750456674,2010
"Alberta","Male","55+",5,0.269458120065639,2011
"Alberta","Male","55+",6,0.272591014381418,2012
"Alberta","Male","55+",7,0.271870470466604,2013
"Alberta","Male","55+",8,0.279662030906022,2014
"Alberta","Male","55+",9,0.273738643724273,2015
"Alberta","Male","55+",10,0.285040936508141,2016
"Alberta","Male","55+",11,0.26191712045438,2017
"Alberta","Male","55+",12,0.246295790517908,2018
"Alberta","Male","55+",13,0.260350923665318,2019
"Alberta","Male","55+",14,0.26803473484018,2020
"Alberta","Male","55+",15,0.256812651352258,2021
"Alberta","Male","55+",16,0.261031471617897,2022
