REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,SEX,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2010,01,1,48,7,03,5,1,6,2,1,,,3,3,06,08,35,,,,400,400,1,400,400,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,1,01,,659
2,2010,01,3,10,0,05,,1,6,4,,1,1,2,3,06,08,36,,,,,,,,,,,,,,,,101,,,,,,16,2,1,4,12,5,2,,,1,,,,1,,,1,01,,159
3,2010,01,4,13,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,119
4,2010,01,4,12,0,12,,1,1,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,124
5,2010,01,1,24,0,06,,1,2,6,1,,,1,3,12,03,10,,,,350,390,1,350,390,0,,0,40,40,,146,,4176,1,1,3,4,,,,,,,,,,,,,,,,,1,03,2,127
6,2010,01,3,12,0,01,2,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,,,2,,1,,,,,3,,,2,15,,171
7,2010,01,1,24,2,09,,2,6,4,1,,,6,3,18,06,27,,,,300,300,1,300,300,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,01,,653
8,2010,01,1,35,0,10,,1,1,3,1,,,2,3,10,08,36,,,,380,415,1,380,415,0,,0,0,0,,60,,1452,3,1,2,3,,,,,,,,,,,,,,,,,1,05,,89
9,2010,01,1,24,0,06,,2,2,2,1,,,2,3,10,07,31,,,,390,500,1,390,500,0,,0,110,110,,82,,1716,3,1,2,4,,,,,,,,,,,,,,,,,1,03,2,86
10,2010,01,1,35,0,05,,2,2,4,2,,,2,3,09,03,13,,,,320,240,1,370,240,80,1,0,0,0,,76,,1932,3,1,2,2,,,,,,,,,,,,,,,,,1,09,1,215
11,2010,01,4,59,9,11,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,11,,489
