REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2014,03,2,24,2,09,,1,2,5,1,,,2,3,09,08,36,1,26,2,400,0,1,400,0,,,,,,,240,,2753,1,1,3,4,,,,,,,,,,,,,,,,,1,04,4,307
2,2014,03,2,46,0,08,,2,1,4,1,,,2,3,20,07,32,1,99,2,345,0,1,345,0,,,,,,,240,,2899,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,114
3,2014,03,1,24,2,04,,2,6,5,1,,,2,1,15,07,33,,,,200,370,2,200,370,0,,0,0,0,0,1,,1015,3,1,3,4,,,,,,,,,,,,,,,,,1,18,,831
4,2014,03,4,35,0,10,,1,2,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,1,13,4,138
5,2014,03,1,24,0,08,,2,1,2,1,,,2,3,11,08,36,,,,250,250,2,250,250,0,,0,0,0,7,34,,1580,1,1,2,4,,,,,,,,,,,,,,,,,1,02,,452
6,2014,03,4,35,0,12,,2,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,203
7,2014,03,4,48,0,09,,2,1,2,,1,2,2,3,10,07,34,,,,,,,,,,,,,,,,240,,,,,,,,,4,11,12,,,,,,,,,,,1,05,,84
8,2014,03,1,48,8,07,,2,1,2,1,,,2,3,20,02,09,,,,400,400,1,400,400,0,,0,0,0,,2,,2163,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,93
9,2014,03,1,35,0,11,,2,1,2,1,,,3,3,06,01,04,,,,250,200,2,250,200,,,,,,5,216,,,,,,,,,,,,,,,,,,,,,,,,02,,219
10,2014,03,4,35,0,01,2,2,6,1,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,03,,251
11,2014,03,3,35,0,06,,1,1,5,,1,1,1,3,21,07,34,,,,,,,,,,,,,,,,36,,,,,,6,3,2,2,04,3,2,,,,,,1,1,,,1,09,2,255
12,2014,03,4,46,6,05,,1,2,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,0,,1,08,,105
13,2014,03,4,46,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,11,,32
14,2014,03,1,12,0,06,,1,1,4,1,,,2,3,18,03,12,,,,375,150,1,375,150,225,3,0,0,0,,171,,4615,3,1,3,4,,,,,,,,,,,,,,,,,1,03,2,134
15,2014,03,4,24,0,10,,1,6,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,1,01,,106
16,2014,03,4,35,0,10,,1,5,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,1,01,,204
